categoria,frames,duracion_seg,brillo_promedio,movimiento_promedio,velocidad_promedio,aceleracion_promedio,angulo_rodilla_promedio,angulo_cadera_promedio,angulo_tobillo_promedio,inclinacion_promedio,dist_hombros_caderas,simetria_promedio
Adelante,0.10855263157894737,0.2722772277227723,0.3956893045953631,0.19541778975741236,0.44067796610169485,0.37142857142857144,0.936745112688333,0.9479871749198434,0.9243126047107518,0.2631578947368421,0.5540287320424733,0.8883856357165966
Adelante,0.11513157894736839,0.28712871287128716,0.005693371289140714,0.18463611859838275,0.38983050847457623,0.4,0.9513136595691698,0.9295808098800622,0.9446141716763575,0.5438596491228069,0.5915053091817613,0.901973471368489
Adelante,0.10526315789473681,0.2623762376237624,0.26148840992273126,0.16981132075471694,0.44067796610169485,0.42857142857142855,0.9448387498443536,0.9276807980049879,0.8926776387109489,0.4122807017543859,0.570893191755153,0.8841798770624393
Adelante,0.256578947368421,0.6435643564356435,0.09922732818218716,0.1091644204851752,0.22033898305084745,0.19999999999999996,0.9211804258498324,0.895261845386534,0.8876515226175224,0.49122807017543857,0.4884447220487195,0.7923002264639275
Adelante,0.11513157894736839,0.28712871287128716,0.16104107360715592,0.12129380053908352,0.32203389830508466,0.2857142857142857,0.9567924293363217,0.8981118631991454,0.9703360599191878,0.12280701754385964,0.44597126795752656,0.7605952766095114
Adelante,0.06249999999999997,0.15594059405940608,0.04148027653517605,0.2412398921832884,0.25423728813559315,0.19999999999999996,0.8942846469929027,0.9478684241776514,0.8424164777766826,0.5175438596491228,0.6289818863210492,0.8916208346813329
Atras,0.03618421052631579,0.08910891089108919,0.21960146400975855,0.2830188679245283,0.5762711864406779,0.6285714285714286,0.9591582617357739,0.8881368008550057,0.24795506060904693,0.23684210526315785,0.6077451592754528,0.9310902620511161
Atras,0.016447368421052627,0.03960396039603964,0.37169581130540763,0.21159029649595684,0.40677966101694907,0.3142857142857143,0.9257875731540284,0.9112931955824726,0.4148024046516211,0.42105263157894735,0.4659587757651466,0.7463604011646716
Atras,0.0855263157894737,0.21287128712871295,0.49979666531110123,0.20485175202156336,0.559322033898305,0.48571428571428577,0.9439671273813972,0.8773304833155211,0.36631516704444655,0.4122807017543859,0.48719550281074325,0.7897120672921384
Atras,0.01315789473684209,0.03217821782178232,0.2712484749898323,0.21159029649595684,0.32203389830508466,0.2571428571428572,0.8667662806624334,0.7843486521790763,0.2923031437863407,0.23684210526315785,0.5640224859462837,0.8447104496926561
Atras,0.07236842105263155,0.18069306930693074,0.3643757625050821,0.25202156334231807,0.44067796610169485,0.34285714285714286,0.9569169468310301,0.9146182163638525,0.43421700995368095,0.4736842105263157,0.6014990630855714,0.8767389194435458
Atras,0.032894736842105254,0.08168316831683176,0.509963399755998,0.22641509433962265,0.38983050847457623,0.42857142857142855,0.9125887187149799,0.8773304833155211,0.4367793436483688,0.29824561403508765,0.6114928169893816,0.8379165318667098
Atras,0.09210526315789472,0.23019801980198018,0.48271655144367465,0.2574123989218329,0.40677966101694907,0.3142857142857143,0.9251649856804884,0.8172426077662989,0.20350842613580378,0.5438596491228069,0.6489693941286696,0.8553866062762858
Atras,0.0,0.0,0.23912159414396061,0.2574123989218329,0.44067796610169485,0.2857142857142857,0.9337566928153409,0.879942999643748,0.09391938503991326,0.7368421052631579,0.6408494690818238,0.9411193788417986
Atras,0.03618421052631579,0.08910891089108919,0.32045546970313055,0.22506738544474392,0.559322033898305,0.2285714285714286,0.9122151662308555,0.8248426552665955,0.2650044348083177,0.3947368421052631,0.590256089943785,0.8172112584923972
Atras,0.003289473684210509,0.007425742574257543,0.20821472143147535,0.25336927223719674,0.5762711864406779,0.5714285714285715,0.9485742746855936,0.8805367533547088,0.4312604710751947,0.3859649122807017,0.6208619612742037,0.9003558718861209
Atras,0.09539473684210523,0.2376237623762376,0.4570963806425361,0.2439353099730458,0.6610169491525424,0.5142857142857143,0.9630183040717224,0.9064244151525949,0.29890608061496005,0.3947368421052631,0.7651467832604621,1.0
Atras,0.13157894736842105,0.32920792079207917,0.24928832858885652,0.19137466307277629,0.5084745762711864,0.4,0.9640144440293863,0.8646241539009623,0.32758450773627656,0.587719298245614,0.6158650843222986,0.8689744419281786
Atras,0.06249999999999997,0.15594059405940608,0.40666937779585144,0.18463611859838275,0.6779661016949151,1.0,0.9290250280164365,0.9546372164826034,0.4494924608258598,0.5964912280701754,0.4653341661461586,0.7457133613717243
Atras,0.07894736842105263,0.19801980198019808,0.060593737291580574,0.21428571428571425,0.6440677966101694,0.4571428571428571,0.9251649856804884,0.9098681866761671,0.4697940277914655,0.4122807017543859,0.4815740162398499,0.7845357489485603
Atras,0.055921052631578955,0.13861386138613863,0.26677511183407887,0.17924528301886794,0.38983050847457623,0.3142857142857143,0.9020047316647988,0.8802992518703245,0.2594855622351434,0.7017543859649122,0.5690193628981886,0.8320931737301843
Atras,0.03618421052631579,0.08910891089108919,0.14843432289548453,0.15902964959568733,0.5762711864406779,0.6285714285714286,0.9612750591458101,0.9103431896449357,0.7363752833349758,0.06140350877192982,0.4378513429106807,0.5655127790359107
